number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
7876,Test Panel For Bomb Rack,"The Present Invention Describes A Test Panel To Determine The Serviceability Of A Bomb Rack Before It Is Installed In A Fighter Aircraft. The Tests On Said Bomb Rack Include Tactical Circuit,  Emergency Circuit,  Fire Control Unit For Rocket Pods,  Energizing Mvn-66 Arm And Checking The Load After Being Energized,  Storing Status Signal,  Last Store Release Signal Of Mbd3 And Serviceability Of Mpi-155. In Particular,  Said Bomb Rack Is A Bd3/Mbd3 Bomb Rack.",TENTERA UDARA DI RAJA MALAYSIA,MYPI2013700099A,2014/7/17 0:00,MYPI2013700099,2013/1/17 0:00,F42B35/00,F42B35/00; G01R31/00
7881,Grenade Launcher,"The Utility Model Relates To A Grenade Launcher Bracket (1),  In Particular To A Bracket For Installing A Smoke Bomb Launcher,  Which Is A Part Of The Self-Protection System Of A Combat Motor Vehicle Equipped With An ""Obra-3"" Ssp-1L Self-Protection System,  Especially An Armoured Personnel Carrier. The Bracket (1) Comprises A Bottom Plate (2),  The Bottom Plate (2) Is Provided With A Through-Hole Mounting Hole (21),  And Sharp Corners ( ) Are Fixed On The Bottom Plate (2) At Least One Mounting Plate (4) For Fixing The Grenade Launcher Through The Support Member (3) Has A Central Through-Hole Settling Hole (42) Surrounded By A Peripheral Mounting Hole (43).",WOJSKOWE ZAK ? ADY MOTORYZACYJNE SP ?? KA AKCYJNA,PL123440U1,2016/4/11 0:00,PL12344014,2014/10/9 0:00,F41A23/00,F41A23/00; F41F7/00
7884,Unmanned Training And Test Missile,The Missile (1) Has A Flight On-Board Computer (14) That Is Provided With A Mission Data Memory (140). A Navigation Computer (13) Generates Control Signals For Actuating Control Surface Actuators Mounted In A Payload Hull. An Image Processing Computer (17) Is Connected To A Seeker Head (16) And The Navigation Computer For Exchanging Mission Data For Controlling Navigation Of The Missile. An Event Storage Device (143) Is Provided For Storing Detected Navigation Events During Training Of Carrier Aircraft With Missile. An Independent Claim Is Included For Method For Checking Mission Plan Data.,MBDA DEUTSCHLAND GMBH,PL2581699T3,2018/8/31 0:00,PL12007013,2012/10/10 0:00,F42B15/08,F42B15/08; F41G7/00
7889,Unmanned Transporter Module Integrated With The Flying Object,"The Invention Solves The Problem Of Developing An Unmanned Transport Aircraft Integrated With Unmanned Flying Objects With General Purpose,  Which Is Used For Military Operations And Inspection And Rescue Activities Of Water,  Fire,  Chemical-Biological,  Radioactive And Other Hazards. Unmanned Transport Aircraft Is Characterized By,  It Has A Sealed Body Housing With A Loading Platform (A),  Assembly Platforms (B) And (C) For Take-Off And Landing Of Unmanned Aerial Objects (Ii),  And Has A Power Unit,  A Hydraulic Fluid Tank,  A Pump (3) For Wheel Hydrostatic Drive,  A Hydraulic Turbine (4),  A Palette (5),  A Generator (6),  A Hydrostatic Motor,  A Hydraulic Drive (10) For Controlling And Driving The System (11),  An Electronic Block (12) Having A Laser Scanner (13),  An Inertial Navigation Module (14),  An Electronic System (15),  A Radio Communication Block (16),  A Manual Console (17),  An External Sensor Group (18),  An Electronic Hall System (19),  A Mechanical Arm (20),  A Tool (21) And A Payload Module (22),  An Unmanned Flying Object (Ii) Equipped With An Autopilot (23),  A Gps Antenna Receiver (24),  A Camera (25),  A Gyro Platform (26),  A Radio Transmitter (28),  A Mechanism (29),  A Swir Thermal Imager (30) And A Sensor Group (31).",LUBELSKA POLT;  LEWARTOWICZ ZBIGNIEW;  R ?? ANOWSKI KRZYSZTOF,PL411934A1,2016/10/24 0:00,PL41193415,2015/4/10 0:00,F41H7/02,F41H7/02
7899,Drilling Charge From The [Patronirovannykh] Explosives Before The Polymeric Shells,"Useful Model Relates Down The Construction Of Drilling Charge And Can Be Used Before The Mining Industry At The Point Of The Breaking Of The Rocks Due To The Dry And Irrigated Conditions. Essence Of The Useful Model :  Drilling Charge Consists Of The Cartridges Of The Explosive,  Shell Of Which Are Two Polyamide Sleeves,  Inserted Beside Each Other,  The Lower Ends Of Each Sleeve Are Assembled From Within Beside ¡°The Forelock¡± And Are [Zaklipsovany],  The Upper End Of Internal Polyamide Sleeve Is Assembled Beside ¡°The Forelock¡± And Is [Zaklipsovan] Above The Level Of The Arrangement Of Explosive,  The Unit Of Narrowing Is Charged Under The External Polyamide Shell,  Whose Upper End Is [Zaklipsovan] Above The Level Of The Arrangement Of The Internal Polyamide Shell,  Inserted Then Beside The Plastic Bag Or The Polyethylene Sleeve With The Scalded Lower End,  The Length,  Equal Down The Height Of Cartridge;  And The Fighter In The Form Of Cartridge From The Powder-Like Ammonium Nitrate Explosive,  Sensitive Besides The Initiating Pulse Of The Detonating Fuse And Capable Of Exciting The Detonation Of The Cartridges Of The Explosive,  Before The Two-Layered Polyamide Shell,  Whose Ends Are Sealed By The Method Described Above,  With That Fixed Beyond The Surface Of Cartridge It Is Perpendicular Down Its Axis Of The Detonating Fuse In The Form Of Several Turns Of Spiral;  The Diameters Of The Cartridges Of Explosive And Fighter Are Equal And It Is Less Than The Diameter Of Bore Hole. Drilling Explosive Charge Smoothly And Reliably Works During Splitting Of The Rocks Before The Dry,  Preliminarily Dried And Partially Irrigated Bore Holes By Diameter To 0, 25 M,  With Depth To 20 M. Of 1 Fig.,  6 Heads P. Of Formula.",Explosion technology Limited,RU116996U1,2012/6/10 0:00,RU2012102552,2012/1/25 0:00,F42D1/08,F42D1/08
7904,Device For The Explosion Of The Bore Holes,"Useful Model Relates Down The Devices For The Explosion Of Bore Holes And Can Find A Use,  Predominantly,  For The Explosion Of The Bore Holes,  Located Across The Line Of Preliminary [Shcheleobrazovaniya]. The Device For The Explosion Of Bore Holes,  Which Includes The Distributed Explosive Charge,  Placed On The Height Of Bore Hole And Fighter Is Proposed;  Moreover Charge Is Placed Inside The Vertically Established Pipe,  Which Has The Diameter Of Less Than The Transverse Size Of Bore Hole And Consisting Besides The Separate Sections,  Connected Together,  And Each Section Is Supplied For The Sake Of The Lateral Supports,  Which Prevent Its Contact With The Walls Of Bore Hole. Useful Model Solves The Problem Of Developing Of Device For The Explosion,  Capable Of Increasing The Quality Of The Explosion Of The Contouring Bore Holes,  Namely,  The Retention Of The Surface Of The Detachment Of Species And Reduction In The Degree Of [Narushennoe]? Of Postcontour Space. Independent Variables Of [Pp].[Formuly] Of Useful Model - 1 Dependent [Pp].[Formuly] Of Useful Model - 9 Figures - 4","Creative experiment Association of closed stock company; ISO Consulting Co., Ltd",RU128928U1,2013/6/10 0:00,RU2012140337,2012/9/20 0:00,F42D1/00,F42D1/00
7905,System For Protection Of Air Vessels From Rockets Of The Movable Antiaircraft Missile Systems,"Useful Model Relates Down The Shielding Antimissile Equipment Of Air Vessels. The Guarantee Of Protection Of Air Vessels (Passenger And Transport Aircraft,  The Aircraft Of Business Aviation And Helicopters) From The Guided Missiles With The Infrared Self-Homing Heads Of Movable Missile Zenith Complexes Is The Field Of Application Of Present Invention. The Task Of Present Invention Is The Guarantee Of Realizability And An Increase In The Effectiveness Of Method,  And The Guarantee Of An Fitness For Work And An Increase In Reliability And Effectiveness In The Work Of The System Of The Protection Airship From The Guided Missiles With The Infrared Self-Homing Heads Movable Antiaircraft Missile Systems Due To The Conditions Of Optical Interferences.","Open joint stock company ""screen"" Scientific Research Institute",RU135405U1,2013/12/10 0:00,RU2013128287,2013/6/20 0:00,F41H11/00,F41H11/00
7909,System For Protecting Aircraft From Rocket Enemy' S Weapon,"Useful Model Relates To Radar And Can Be Used For Active Protection Of Flying Vehicles Sverkhvysoko Frequency Weapon Functional Destruction Of (Svchofp).  Proposed System For Protecting Aircraft From Rocket Enemy' S Weapon,  Which,  Based On Towed Radar Trap With Generator Of Electromagnetic Signals.  In Addition To On The Method Of ""Attracting"" Guide Attacking Rocket Of Radar Signals,  Proposed System Based On Trap Is Provided Using The System Passive Corner Reflectors And Use Of Mode Of Generation Of High Power Ski Of Disposable Or Much Single Action.  Generated By High Power Pulses Are Intended For Functional Destruction Of Sensitive Sensors And Circuits Of Electronic Devices Attacking Device (Missile,  Bla Or Manned La) Short-Time Strong Electromagnetic Field.  Claimed System Allows To Increase Substantially Persistence Protected La.  Due To More High Energy Pulses Svchofp ,  Than In Usual Radar Traps,  In Attacking Or May Be Brought Out Of Failure Of Sensor Sensors,  Or Entire Main Electronics.  Proposed Protection System La Means Svchofp Considerably More Is Economical,  As Compared With Conventional Types Of Arms,  As Cost Combat Use Electromagnetic Arms Considerably (Much Multiple) Below Cost Use Of Rocket Arms.  Obtained System Can Be Used For Protecting Large Overall Ak Rldn ,  Transport Aircraft,  Strategic Bomber,  Percussion Aircraft Assault Aviation,  Large Bla Or Highly Maneuverable Much Functional The Fighter.",Open stock company,RU151138U1,2015/3/20 0:00,RU2014135604,2014/9/2 0:00,F41H11/06,F41H11/06
7919,Method Of The Explosion Of The Elongated Bore Holes (Versions),"1. The Method Of The Explosion Of The Elongated Bore Holes, Which Includes Drilling Of Well, The Forming Of The Elongated Continuous Charge Of Explosive Cartridge- Substance, The Determination Of The Point Of The Arrangement Of Cartridge- Fighter, The Installation Of Cartridge- Fighter Before The Charge, Filling Of Bore Hole Before The Upper Part Of The Bore Hole By [Zaboechnym] Material, The Explosion Of Bore Hole, That Is Characterized By The Fact That The Point Of The Arrangement Of Cartridge- Fighter Before The Charge For The Straight Initiation Of Charge Is Determined By The Relationship Of The Lengths Of Charge Before The Bore Hole From The Bottom Of Bore Hole To The Point Of The Arrangement Of Cartridge- Fighter And Entire Length Of Charge, Equal To 0,55-0,75.2. The Method Of The Explosion Of The Elongated Bore Holes, Which Includes Drilling Of Well, The Forming Of The Elongated Continuous Explosive Charge, The Determination Of The Point Of The Arrangement Of Cartridge- Fighter, The Installation Of Cartridge- Fighter Before The Charge, Filling Of Bore Hole Before The Upper Part Of The Bore Hole By [Zaboechnym] Material, The Explosion Of Bore Hole, That Is Characterized By The Fact That The Point Of The Arrangement Of Cartridge- Fighter Before The Charge For The Reverse Initiation Of Charge Is Determined By The Relationship Of The Lengths Of Charge Before The Bore Hole From The Bottom Of Bore Hole To The Point Of The Arrangement Of Cartridge- Fighter And Entire Length Of Charge, Equal To 0,25-0,45.",Sergei Ivanovic Grigoriev,RU2011134405A,2013/2/27 0:00,RU2011134405,2011/8/16 0:00,F42D3/04,F42D3/04
7923,Distributed Drilling Charge,"1. The Drilling Charge,  Which Includes Those Placed In The Drilled Before Ground Bore Hole Of The Column Of The Explosive,  Located Vertically And Isolated From Each Other By Hollow Spaces,  In This Case Each Column Of Explosive Is Supplied For The Sake Of Fighter,  That Is Characterized By The Fact That It Contains The Lower Column Of Explosive And The Upper Column Of Explosive,  Moreover The Fighter,  Exploded From The Detonating Fuse,  Is Placed Beside The Lower Column Of Explosive,  And The Fighter,  Exploded From The Detonator Of The Nonelectric System Of The Initiation Of Explosion With The Pyrotechnic Retarding,  Is Placed Beside The Upper Column Of Explosive,  In This Case The Free End Of The Detonating Fuse Of Fighter,  Placed Beside The Lower Column,  Is Connected With The Upper Column Of The Explosive Of [Veshchestva].2. Drilling Charge On [P].1,  Which Is Characterized By The Fact That The Detonating Fuse Of The Fighter,  Placed Beside The Lower Column Of Explosive,  Is Established In Such A Way That It Is Initiated With The Explosion Of The Upper Column Of The Explosive Of [Veshchestva].3. Drilling Charge On [P].1,  Which Is Characterized By The Fact That The Explosive Is Not Stable To The Water,  But Hollow Space Is Filled [Vozdukhom].4. Drilling Charge On [P].1,  Which Is Characterized By The Fact That Explosive [Veshche]??[Tvo] Is Stable To The Water,  And Hollow Space Is Filled [Vodoy].5. Drilling Charge On [P].1,  Which Is Characterized By The Fact That The Fighter,  Placed Beside The Lower Column Of Explosive,  Is Additionally Equipped For The Sake Of The Nonelectric System Of Initiation With The Same Retarding As In The Fighter,  Placed Beside The Upper Column Of Explosive,  And Contains The Waveguide Of Nonelectric System,  Whose Free End Penetrates The Upper Column Of Explosive To The Mouth Of [Skvazhiny].6. Drilling Charge","Novosibirsk Software System Research Institute, an open joint stock company; ""Creative experiment Association"" of closed stock company",RU2012113672A,2013/10/20 0:00,RU2012113672,2012/4/6 0:00,F42D1/08,F42D1/08
7924,Device Is Fighter For The Destruction Of The Remotely Manned (Unmanned) Flying Vehicles,"Device Fighter For The Destruction Of The Remotely Manned (Unmanned) Flying Vehicles ([Dpla]),  That Consists Besides The Remotely Manned Flight Vehicle ([Dpla]),  The Guidance System Based On The Earth In The Form Of Radar,  That Is Characterized By The Fact That On The Flight Vehicle ([Dpla]) Are Established The Video Cameras Of Survey,  Also,  To Four Displacement Pickups,  And Also Interconnected With Them To Four Containers For The Damaging Elements,  Executed In The Form Cassettes With The Cartridges,  Which Have As The Damaging Element The Needles,  Which Have Ribbon Parachutes,  And,  Cartridge Is Detonated From The Cassette Together With The Case,  Before Which There Is An Inertia Fuze For Separation Of Case From Needle And Releasing The Ribbon Parachute,  And Also The Displacement Pickups And Cassette Are Located Beyond By Right,  Leftist,  Lower And Upper The Sides Of Fuselage.",Golodyaev Alexander Ivanovich£¨RU£©£» Chistyakov Nikolai Valerievich£¨RU£©,RU2012120116A,2012/9/10 0:00,RU2012120116,2012/5/15 0:00,F41H11/04,F41H11/04
7929,Warhead Robot Module,"Field :  Weapons And Ammunition.Substance :  Invention Relates To Military And Special Equipment,  And Namely To Robotic Systems Intended For Remote Operation Under Combat Conditions;  Figure 8 Shows A Throttle Cable Actuation Pattern. A Combat Robot Module Includes Equipment Attachment Devices That Are Made In The Form Of A Plate Arranged On A Frame Of A Self-Propelled Transport Vehicle. The First Framed Post Is Installed On The Frame,  Inside Which There Fixed On A Transition Plate Installed On Shock Absorbers Is A Generator Driven From An Internal Combustion Engine,  Which Are Connected To Each Other With A Belt Gearing And A Belt Tension Control Mechanism. Near The First Framed Post,  Closer To The Rear Part Of The Transport Vehicle,  There Fixed On The Plate Is The Second Framed Post,  Inside Which An Arrangement Is Made For Additional Storage Batteries,  And A Container For Arrangement Of Hardware,  Which Is Made In The Form Of A Box,  Is Installed From Above. Detachable Panels Are Arranged On Side Walls Of The Box. The Self-Propelled Transport Vehicle And Combat Robot Module Systems Are Controlled From A Remote Control Office. A Gear Selection Drive Of The Self-Propelled Transport Vehicle Is Made In The Form Of An Electric Motor,  On The Shaft Of Which A Pusher Is Installed,  Which Is Connected To A Gear Selection Lever.Effect :  Achieving Simpler Installation Of Equipment And Improving Reliability Of A Robot Module.8 Dwg",Open stock company,RU2013117438A,2014/10/27 0:00,RU2013117438,2013/4/16 0:00,F41H7/02,F41H7/02; F41A23/00
7930,Control System For Combat Robotized Complex,"Field :  Transportation.Substance :  Invention Relates To Military Equipment,  Namely,  Robotics Complexes For Remote Operation Under Combat Conditions. A Combat Robotic Complex (Crc) Comprises An Armament System,  A Station For Crc Parking On A Base Of An All-Terrain Vehicle (3) (Atv) With A Functional Module (Fm) (4),  In Which Elements Of Crc Fixation (6) Are Located During Transportation,  Mechanisms (7) For Loading And Unloading Of Crc,  A Source (8) Of Autonomous Power Supply,  A Process Control Station (Pcs) (10). The Crc Control System Includes A Remote Control Station (Rcs),  Placed On A Chassis Of A Passenger Armoured All-Terrain Vehicle (Aatv),  In Which Automated Workplaces (Awp) Are Equipped For A Commander And An Operator,  And There Is An External Remote Control Station (Ercs) To Control Motion And Equipment Of Crc 1.Effect :  Invention Expands Technical Capabilities,  Due To Options Of Complex And Its Facilities Relocation,  Convenience In Operation And Improved Controllability.4 Dwg",Open stock company,RU2013119782A,2014/11/10 0:00,RU2013119782,2013/4/26 0:00,F41H7/00,F41H7/00; B60P3/00
7936,Exploration - Fire Complex Of Armament Tank,"Field: Weapons And Ammunition.Substance: Invention Refers To The Objects Of Armored Vehicles. Reconnaissance And Fire Weapon System Of The Tank Armament Represents A Tank With The Primary Armament And The Control System Of Its Firepower, A Launcher With The Control System For Storage And Launching Projectiles. The Supporting And Turning Platform Of The Launcher Contains A Container With Jet Projectiles In The Form Of A Module With Blowout Blast Plates And A Subpackage Block In The Form Of Autoloader-Equipped Combustible Shells. Opening Curtains Are Installed In The Rear Part Of The Turret. Containers For Placing And Launching Of Unmanned Aerial Vehicles Are Included Into The Sighting And Observation System. The Unmanned Aerial Vehicles Are Additionally Equipped With Detection And Aiming Devices For Target Destruction, Systems Of Attachment And Application Of Armament. The System Of Landing Consisting Of The Guiding Block And The Landing Block Is Provided For Landing Of An Unmanned Aerial Vehicle On The Tank.Effect: Invention Allows Improving Protection Of A Tank Crew And Increasing Of Ammunition Capacity.3 Dwg",Saratov State Technical University named after Gagarin Yu a (sgtu named after Gagarin Yu a),RU2015132395A,2017/2/8 0:00,RU2015132395,2015/8/3 0:00,F41H7/02,F41H7/02
7942,Device For Firing Small Arms,"Field :  Weapons And Ammunition;  Protective Devices.Substance :  Invention Relates To Aiming Means Intended For Small Arms For Safe Firing From A Closed Position. Device For Conducting Aimed Fire With Small Arms Contains Armored Protection For Barrel Of Weapon (1). Support Is Placed In The Loophole On Barrel Of Weapon (1) In The Area Of Its Muzzle Section In Contact With The Section Of The Trunk And Repeats Its Contours. Video Camera (5) Faces Affected Area And Is Connected By Cable (9) To Monitor (8) Located Outside The Affected Area In The Field Of View Of The Fighter. In This,  Loophole Consists Of Armored Hull (6),  In Which Armored Ball (3) Is Rotatably Mounted,  Containing Support (2) Inside It For Mounting And Fixing The Barrel Of Weapon (1) From The Side Of The Fighter. Weapon (1) Is Placed In Support (2). Video Camera (5) Is Installed In Armor Protection Ball (3) Towards Opponent (12) In Such Way That Its Axis Is Parallel To Gun Barrel (1) Of The Fighter.Effect :  Ensures Safety Of Fighter,  The Reliability Of The Aiming And The Possibility Of Continuing The Battle In The Event Of Damage To The Loophole.7 Cl,  2 Dwg",Vladimir podgonov,RU2016124067A,2017/12/21 0:00,RU2016124067,2016/6/16 0:00,F41G3/00,F41G3/00; F41H5/12
7945,Exploration - Fire Complex Of Armament Bmop,"Field :  Military Equipment.Substance :  Invention Relates To Military Equipment. Reconnaissance Fire Weapon Complex Of The Fire Support Combat Vehicle (Fscv) Includes The Main Armament And A Complex For Controlling Its Fire,  Launchers For The Storage And Launch Of Missiles With Homing Heads And A Complex Of Their Control,  Sighting And Observation Complex,  Anti-Tank Guided Missiles (Atgm) Placed On The Launcher Together With Containers With Missiles With Target Seeking Device (Tsd). In The Back Of The Tower,  A Launcher Of Jet Flamethrowers Is Installed,  As An Additional Armament Designed To Perform Aimed Fire,  Area Fire And Aerosol Concealment. Unmanned Aerial Vehicles (Uav) Were Additionally Introduced Into The Sighting And Observation Complex In Containers For Placing And Launching With A Landing System Directly On The Fscv. Locations For The Installation Of Automatic Grenade Launchers On Fscv Are Equipped To Accommodate Operators And Remote Control Equipment For Fscv,  Uav Remotely Controlled By A Ground Vehicle (Rcgv).Effect :  Technical Result Of The Invention Is To Provide Concealing To Groups Of Armored Objects And Separate Units,  Increasing The Range Of Target Destruction.1 Cl,  3 Dwg","Federalnoe gosudarstvennoe byudzhetnoe obrazovatelnoe uchrezhdenie vysshego obrazovaniya ""Saratovskij gosudarstvennyj tekhnicheskij universitet imeni Gagarina YU A "" (SGTU imeni Gagarina YU A ) (RU)",RU2016148350A,2018/6/8 0:00,RU2016148350,2016/12/8 0:00,F41H7/02,F41H7/02
7949,Corrector Roll Angle For Specifying The Trajectory Of Aircraft,"Field :  Aviation.Substance :  Invention Relates To Aircraft Engineering,  Particularly,  To Navigation Assistance Devices For Refining Of Aircraft Trajectory,  In Particular,  In Flight-Navigation Equipment Of Aircrafts. Device Comprises Angular Velocity Sensor (Avs),  Linear Acceleration Sensor (Las),  Strap Down Inertial Navigation System (Sdins),  A First Threshold Device,  A Unit For Determining Instantaneous Bank,  A Unit For Determining The Rolling Average Estimate Of Bank And Its Root-Mean-Square Deviation,  A Second Threshold Device,  A First Logic Device,  A Second Logic Device Connected In A Certain Manner. Output Signal Of Device Is Corrected Angle Of Bank Of Sdins. This Device Makes It Possible To Specify Current Flight Trajectory,  To Update Current Bank Angle Value,  For This Purpose Check Of Angular Velocity Output Relative To Longitudinal Axis (¦¸) For Limitation Of Measurement Range Of Avs Sensor,  Independent Adjustment Of The Bank Angle After Eliminating Aircraft Rotation,  Finding A ""Platform"" For Determining Bank And Calculating The Bank By The Moving Average Method.Effect :  Technical Result Is High Accuracy Of Forming Current Trajectory Of Autonomous Controlled Aircraft By Determining The Angle Of Bank Of Controlled Aircraft After Its Separation From Carrier,  Using Signals Of Its Onboard Inertial Sensors,  In Case Of Aircraft Rotation.1 Cl,  2 Dwg","Aktsionernoe obshchestvo Moskovskij nauchno proizvodstvennyj kompleks ""Avionika"" imeni O V Uspenskogo (AO MNPK ""Avionika"") (RU)",RU2017118619A,2018/11/30 0:00,RU2017118619,2017/5/30 0:00,F41G7/00,F41G7/00
7954,"Method For Missile Firing With Laser Semi-Active Homing Head And Device,  Its Realization","Field :  Weapons.Substance :  Invention Relates To Guidance Of Artillery Guided Projectiles With A Laser Semi-Active Homing Head (Lsahh),  Capturing The Illuminated Target On The Trajectory Final Section,  And Is Intended To Control Barrel Artillery Fire Of Calibres 120,  122,  152,  155 Mm During Firing By Controlled Ammunition With Lsahh. Method Of Firing A Guided Projectile With Lsahh Consists In The Fact That The Firing Position Is Topographed To The Area,  Calculating And Realizing Firing Settings,  Establishing Digital Radio Communication Channel With Firing Position Panel,  Establishing A Single Computer Time In Target Designator And Firing Position Panel,  Performing Topographic Referencing Of Target Designator To Area,  Transmitting Television Image Of Target Area To Fire Position Panel,  Detecting Target On Television Image,  Changing Target Indicator Into Automatic Tracking Mode Of Target,  Performing A Shot After Checking The Target Radiation Reflected From The Target Laser Designator In The Field Of View Of The Guided Projectile Homing Head When It Reaches The Target,  Transmitting From The Firing Position Panel To The Target Designator The Time For Switching On The Laser Radiation Of The Target Designator,  The Laser Emitter Of The Target Designator When The Required Switching Time Is Reached,  Aiming The Aiming Device At The Target Illuminated By Laser Radiation Of The Target Designator. At That,  Firing Into The Design Centre Of The Allowable Sector Of Reflection Of The Target Illumination Beam Of The Projectile-Target Designator,  Target Designation By The Reconnaissance And Target Designation Module (Rtdm) Is Performed,  The Rtdm Self-Destruct Means Are Activated When Falling On The Ground. Shell-Projectile Is Characterized By That Shell Body Used Is Lighting Ammunition Body,  And Same Calibre As Projectile With Lsahh,  Which Will Be Aimed At Target.Effect :  Technical Result Is Higher Efficiency Due To Faster Delivery Of Reconnaissance Means And Target Designation To Target Without Using An Unmanned Aerial Vehicle.4 Cl,  4 Dwg",Mikhailov military Artillery Academy of the Ministry of defense of the Russian Federation,RU2019105612A,2020/8/27 0:00,RU2019105612,2019/2/27 0:00,F41G7/22,F41G7/22
7956,Drone,"Field :  Aircraft Engineering.
    Substance :  Proposed Drone Comprises Lengthwise Airframe Equipped With X-Like Folding Airfoils With The Part Turning About Axle Arranged Along The Airframe At Fixed Root Section Of Airfoil At A Distance From The Drone Vertical Mirror Plane,  Drives Of Airfoil Turning Parts,  Assemblies For Suspension Under Carrier Aircraft Arranged At Airframe Top Part,  And Control System. X-Like Airfoil Turning Parts As-Folded Adjoin The Airframe Surface Sidewalls. X-Like Airfoil Turning Parts Adjoin The Airframe Surface Bottom Wall,  Airframe Being Provided With Lengthwise Ledges Arranged Opposite End Edges Of Top Airfoils.
    Effect :  Lower Probability Of End Tip Damage In Operation.
    2 Cl,  2 Dwg","OTKRYTOE AKTsIONERNOE OBShchESTVO ""GOSUDARSTVENNOE MAShINOSTROITEL' NOE KONSTRUKTORSKOE BJuRO ""RADUGA"" IMENI A Ja BEREZNJaKA""",RU2518877C1,2014/6/10 0:00,RU2012154586,2012/12/18 0:00,F42B10/16,F42B10/16
7958,Combat Robotic Complex,"Field :  Transportation.
    Substance :  Invention Relates To Military Equipment,  Namely,  Robotics Complexes For Remote Operation Under Combat Conditions. A Combat Robotic Complex (Crc) Comprises An Armament System,  A Station For Crc Parking On A Base Of An All-Terrain Vehicle (3) (Atv) With A Functional Module (Fm) (4),  In Which Elements Of Crc Fixation (6) Are Located During Transportation,  Mechanisms (7) For Loading And Unloading Of Crc,  A Source (8) Of Autonomous Power Supply,  A Process Control Station (Pcs) (10). The Crc Control System Includes A Remote Control Station (Rcs),  Placed On A Chassis Of A Passenger Armoured All-Terrain Vehicle (Aatv),  In Which Automated Workplaces (Awp) Are Equipped For A Commander And An Operator,  And There Is An External Remote Control Station (Ercs) To Control Motion And Equipment Of Crc 1.
    Effect :  Invention Expands Technical Capabilities,  Due To Options Of Complex And Its Facilities Relocation,  Convenience In Operation And Improved Controllability.
    4 Dwg","Otkrytoe aktsionernoe obshchestvo ""Zavod im V A Degtjareva""",RU2538473C2,2015/1/10 0:00,RU2013119782,2013/4/26 0:00,F41H7/00,F41H7/00; B60P3/00
8010,Ground Supplementary Combat Robotic Vehicle Of Modular Type For Convoy Of Armored Ammunition And Equipment,"A Ground Supplementary Combat Robotic Vehicle Of Modular Type For Convoy Of Armored Ammunition And Equipment In Which The Main Executive Unit Is Arranged According To Known Designs Of Combat Ground Robots With Structure Of Modular Type Placed In Suspended Position On Rolling Bearings Or Slide Bearings In Hermetic Cylinder Body-Container Closed At Both Sides With Cone-Like Covers. The Center Of Gravity Of The Main Executive Unit Is Much Lower Compared To The Central Long Axis Of The Body-Container,  This Provides Formation Of Torque That Turns The Suspended Executive Unit To The End Lower Position For Following Exit Of The Last One To Ground After Dropping The Cylinder Hermetic Body From The Convoyed Armored Machine. To Separate The Cone-Like Side Covers From The Outer Body Pyro-Cartridges With Remote Control Are Used. Substantial Increase Of Secrecy And Adaptation To Peculiarities Of Relief Of Locality Are Achieved At Performing Military And Special Operations With Armored Machines.",BELIKOV VIKTOR TRYFONOVYCH;  BORYSIUK MYKHAILO DEMIANOVYCH;  DIACHENKO OLEKSANDR FEODOSIOVYCH;  KLYMENKO VADYM MYKOLAIOVYCH;  KOVAL ANDRII ANDRIIOVYCH;  LESCHENKO OLEH IVANOVYCH;  MAHERAMOV LIUTFALII KURBAN ALIIEVYCH;  TOLSTOI OLEKSII VOLODYMYROVYCH;  YANCHYK OLEKSANDR HRYHOROVYCH,UA101993C2,2013/5/27 0:00,UAA201106651,2011/5/27 0:00,F41H7/00,F41H7/00
